STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(3, 2, 1, 0, 0)",-0.014237148621221404,-0.003188657023248066,0.046698087148308615,-0.01206114065618855,-0.05092628549758313,-1.5634960321415932
"(3, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 1, 1, 0)",-0.018958534534364142,-0.006116491017833431,0.08565768100971219,-0.0228135841223104,-0.06499940803552244,-2.385007395945792
"(3, 2, 1, 1, 1)",-0.025000469722368163,-0.019431545227239225,-3.456424465779831e-05,-0.02983656635541534,-0.08981654028454147,-2.7923237418033726
"(3, 3, 0, 0, 0)",0.1366273831650518,-0.003349910199758001,0.2814395872843505,0.017899682505932303,0.03254606761892293,-1.96212909000054
"(3, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 1, 0, 0)",-0.009696721352832744,0.07530884870989947,0.2209781083891161,-0.014025639532524387,-0.010261058226097415,-1.5304320366465012
"(3, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 1, 1, 0)",-0.00024688231881338403,0.07167190929128145,0.39189132079442823,-0.013743472324602636,0.07610639861479263,-2.2638523199541627
"(3, 3, 1, 1, 1)",-0.022953318706658666,0.06357125219970143,0.00033799355373014374,-0.020342133660944568,-0.04884148033183516,-1.6979153287058446
"(3, 4, 0, 0, 0)",0.6694325846451404,0.07026048994973758,0.17361681606451249,0.08253577928655799,0.060078905862018445,-1.5752872782015095
"(3, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 1, 0, 0)",0.1014178660937515,0.8315901288462278,0.08727288012197135,0.0141368466868396,0.10684727416084693,-1.7858088183782512
"(3, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 1, 1, 0)",0.04589091259480298,0.8882148716114832,0.27120033017489986,0.13771750095089655,0.36190426457620883,-1.9332977227559238
"(3, 4, 1, 1, 1)",-0.014752006903263181,0.13867372219271462,-0.05205664696833671,-0.005320875587882387,-0.05163388582524807,-1.932156145974464
"(3, 6, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6, 1, 1, 1)",0.34719569118900007,-0.003222014961837249,0.202570287255,0.027675560237916286,-0.0001319730865749942,-1.2268415061997504
"(3, 7, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 7, 1, 1, 1)",1.9334601290000002,0.14683619653204788,0.0080151638191775,0.02740125872847501,0.35625953994750004,-0.7875447500000001
"(3, 8, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
